well,field,source,target,value0,value1,value,latest_date
130,1,SOUTH EAST,ALL,13623.57278,4541.190927,4632.304,6/25/2017
140,2,CENTRAL WEST,ALL,19971.39828,4992.84957,4652.69,6/25/2017
130,3,SOUTH EAST,ALL,13623.57278,4541.190927,4471.534,6/25/2017
120,4,SOUTH EAST,ALL,13623.57278,4541.190927,4519.734,6/25/2017
190,5,NORTH EAST,ALL,39638.60044,7927.720088,8073.74,6/25/2017
165,6,NORTH EAST,ALL,39638.60044,7927.720088,7832.52,6/25/2017
165,7,NORTH EAST,ALL,39638.60044,7927.720088,7712.1,6/25/2017
165,8,NORTH EAST,ALL,39638.60044,7927.720088,8079.78,6/25/2017
165,9,NORTH EAST,ALL,39638.60044,7927.720088,7940.45,6/25/2017
140,10,CENTRAL WEST,ALL,19971.39828,4992.84957,5111.71,6/25/2017
140,11,CENTRAL EAST,ALL,22229.8786,5557.46965,5627.22,6/25/2017
135,12,CENTRAL WEST,ALL,19971.39828,4992.84957,5093.37,6/25/2017
135,13,CENTRAL WEST,ALL,19971.39828,4992.84957,5113.56,6/25/2017
190,14,CENTRAL,ALL,45051.11304,9010.222608,8868.91,6/25/2017
190,15,CENTRAL,ALL,45051.11304,9010.222608,9106.05,6/25/2017
190,16,CENTRAL,ALL,45051.11304,9010.222608,9145.61,6/25/2017
190,17,CENTRAL,ALL,45051.11304,9010.222608,8857.34,6/25/2017
190,18,CENTRAL,ALL,45051.11304,9010.222608,9073.17,6/25/2017
140,19,CENTRAL EAST,ALL,22229.8786,5557.46965,5380.61,6/25/2017
165,20,SOUTH WEST,ALL,22999.8184,5749.9546,5808.58,6/25/2017
140,21,CENTRAL EAST,ALL,22229.8786,5557.46965,5507.26,6/25/2017
140,22,CENTRAL EAST,ALL,22229.8786,5557.46965,5714.76,6/25/2017
195,23,NORTH CENTRAL,ALL,47383.88975,9476.77795,11852.56,6/25/2017
190,24,NORTH CENTRAL,ALL,47383.88975,9476.77795,11583.94,6/25/2017
190,25,NORTH CENTRAL,ALL,47383.88975,9476.77795,12067.25,6/25/2017
210,26,NORTH WEST,ALL,50126.02691,10025.20538,10176.44,6/25/2017
190,27,NORTH CENTRAL,ALL,47383.8897,9476.77794,11880.13,6/25/2017
140,28,SOUTH WEST,ALL,22999.81845,5749.954613,5618.88,6/25/2017
120,29,NORTH,ALL,3197.38932,3197.38932,3197.38932,6/25/2017
140,30,SOUTH WEST,ALL,22999.81845,5749.954613,5678.99,6/25/2017
140,31,SOUTH WEST,ALL,22999.81845,5749.954613,5893.33,6/25/2017
210,32,NORTH WEST,ALL,50126.02691,10025.20538,9926.7,6/25/2017
200,33,NORTH WEST,ALL,50126.02691,10025.20538,10420.78,6/25/2017
200,34,NORTH WEST,ALL,50126.0269,10025.20538,9811.13,6/25/2017
195,35,NORTH WEST,ALL,50126.02691,10025.20538,9790.97,6/25/2017
