Date,Source,Total BioGas Supply (mmbtu),ARK-CNG,MTS-CNG,QFC-CNG,ST-CNG,Total Dispensed to Targets,Difference
date,source,supply,target,target,target,target,target,
07/01/2017,River Birtch,"3,948.00",521.00,"1,971.00",232.00,755.00,"3,479.00",469.00
07/02/2017,River Birtch,"3,948.00",521.00,"1,971.00",232.00,755.00,"3,479.00",469.00
07/03/2017,River Birtch,"3,948.00",521.00,"1,971.00",231.00,755.00,"3,478.00",470.00
07/04/2017,River Birtch,"3,948.00",521.00,"1,971.00",231.00,755.00,"3,478.00",470.00
07/05/2017,River Birtch,"3,948.00",520.00,"1,971.00",231.00,755.00,"3,477.00",471.00
07/06/2017,River Birtch,"3,948.00",520.00,"1,972.00",231.00,755.00,"3,478.00",470.00
07/07/2017,River Birtch,"3,948.00",520.00,"1,972.00",231.00,754.00,"3,477.00",471.00
07/08/2017,River Birtch,"3,948.00",520.00,"1,971.00",231.00,754.00,"3,476.00",472.00
07/09/2017,River Birtch,"3,948.00",520.00,"1,971.00",231.00,754.00,"3,476.00",472.00
07/10/2017,River Birtch,"3,948.00",520.00,"1,971.00",231.00,754.00,"3,476.00",472.00
07/11/2017,River Birtch,"3,947.00",520.00,"1,970.00",231.00,754.00,"3,475.00",472.00
07/12/2017,River Birtch,"3,947.00",520.00,"1,970.00",231.00,754.00,"3,475.00",472.00
07/13/2017,River Birtch,"3,947.00",520.00,"1,970.00",231.00,754.00,"3,475.00",472.00
07/14/2017,River Birtch,"3,947.00",520.00,"1,970.00",231.00,753.00,"3,474.00",473.00
07/15/2017,River Birtch,"3,947.00",520.00,"1,970.00",231.00,753.00,"3,474.00",473.00
07/16/2017,River Birtch,"3,947.00",520.00,"1,970.00",231.00,753.00,"3,474.00",473.00
07/17/2017,River Birtch,"3,947.00",520.00,"1,969.00",231.00,753.00,"3,473.00",474.00
07/18/2017,River Birtch,"3,947.00",520.00,"1,969.00",231.00,753.00,"3,473.00",474.00
07/19/2017,River Birtch,"3,947.00",520.00,"1,969.00",231.00,753.00,"3,473.00",474.00
07/20/2017,River Birtch,"3,947.00",520.00,"1,969.00",231.00,753.00,"3,473.00",474.00
07/21/2017,River Birtch,"3,947.00",520.00,"1,969.00",231.00,753.00,"3,473.00",474.00
07/22/2017,River Birtch,"3,947.00",520.00,"1,969.00",231.00,753.00,"3,473.00",474.00
07/23/2017,River Birtch,"3,947.00",520.00,"1,969.00",231.00,753.00,"3,473.00",474.00
07/24/2017,River Birtch,"3,947.00",520.00,"1,969.00",231.00,753.00,"3,473.00",474.00
07/25/2017,River Birtch,"3,947.00",520.00,"1,969.00",231.00,753.00,"3,473.00",474.00
07/26/2017,River Birtch,"3,947.00",520.00,"1,967.00",231.00,753.00,"3,471.00",476.00
07/27/2017,River Birtch,"3,947.00",520.00,"1,967.00",231.00,753.00,"3,471.00",476.00
07/28/2017,River Birtch,"3,947.00",520.00,"1,967.00",231.00,753.00,"3,471.00",476.00
07/29/2017,River Birtch,"3,947.00",519.00,"1,967.00",231.00,753.00,"3,470.00",477.00
07/30/2017,River Birtch,"3,947.00",519.00,"1,967.00",231.00,753.00,"3,470.00",477.00
07/31/2017,River Birtch,"3,947.00",519.00,"1,967.00",231.00,753.00,"3,470.00",477.00
