apicode,primary_screw,recip,sales_delivery_point
"49-005-33169","Gas Draw","Horse Creek","IGC"
"49-005-33170","Gas Draw","Horse Creek","IGC"
"49-005-33173","Gas Draw","Horse Creek","IGC"
"49-005-33174","Gas Draw","Horse Creek","IGC"
"49-005-33177","Gas Draw","Horse Creek","IGC"
"49-005-33178","Gas Draw","Horse Creek","IGC"
"49-005-33179","Gas Draw","Horse Creek","IGC"
"49-005-33181","Gas Draw","Horse Creek","IGC"
"49-005-33400","Surfer","alibu","Fort Union"
"49-005-33824","Opossum","Baker Springs","Fort Union"
"49-005-34418","West Pine Tree","West Pine Tree 2024","Thunder Creek"
"49-005-34429","West Pine Tree","West Pine Tree 2024","Thunder Creek"
"49-005-34573","Oneok House Creek #24","Oneok House Creek Booster","Thunder Creek"
"49-005-34822","Gas Draw","Horse Creek","IGC"
"49-005-34823","Gas Draw","Horse Creek","IGC"
"49-005-34824","Gas Draw","Horse Creek","IGC"
"49-005-34825","Gas Draw","Horse Creek","IGC"
"49-005-34826","Gas Draw","Horse Creek","IGC"
"49-005-34856","Gas Draw","Horse Creek","IGC"
"49-005-34858","Gas Draw","Horse Creek","IGC"
"49-005-34860","Gas Draw","Horse Creek","IGC"
"49-005-34861","Gas Draw","Horse Creek","IGC"
"49-005-34862","Gas Draw","Horse Creek","IGC"
"49-005-35028","Gas Draw","Horse Creek","IGC"
"49-005-35138","Sycamore","ontgomery","Fort Union"
"49-005-35140","Sycamore","ontgomery","Fort Union"
"49-005-35141","Sycamore","ontgomery","Fort Union"
"49-005-35142","Sycamore","ontgomery","Fort Union"
"49-005-35144","Sycamore","ontgomery","Fort Union"
"49-005-35146","Sycamore","ontgomery","Fort Union"
"49-005-35150","Sycamore","ontgomery","Fort Union"
"49-005-35182","Dry Willow","Dry Willow","Thunder Creek"
"49-005-35183","Dry Willow","Dry Willow","Thunder Creek"
"49-005-35184","Dry Willow","Dry Willow","Thunder Creek"
"49-005-35185","Dry Willow","Dry Willow","Thunder Creek"
"49-005-35186","Dry Willow","Dry Willow","Thunder Creek"
"49-005-35187","Dry Willow","Dry Willow","Thunder Creek"
"49-005-35188","Dry Willow","Dry Willow","Thunder Creek"
"49-005-35189","Dry Willow","Dry Willow","Thunder Creek"
"49-005-35316","Gas Draw","Horse Creek","IGC"
"49-005-35611","Surfer","alibu","Fort Union"
"49-005-35612","Surfer","alibu","Fort Union"
"49-005-35815","Turbine","Echeta","Fort Union"
"49-005-35816","Turbine","Echeta","Fort Union"
"49-005-35817","Turbine","Echeta","Fort Union"
"49-005-35818","Turbine","Echeta","Fort Union"
"49-005-35819","Turbine","Echeta","Fort Union"
"49-005-35820","Turbine","Echeta","Fort Union"
"49-005-36096","Surfer","alibu","Fort Union"
"49-005-36097","Surfer","alibu","Fort Union"
"49-005-36098","Surfer","alibu","Fort Union"
"49-005-36099","Surfer","alibu","Fort Union"
"49-005-36100","Surfer","alibu","Fort Union"
"49-005-36101","Surfer","alibu","Fort Union"
"49-005-36102","Surfer","alibu","Fort Union"
"49-005-36103","Surfer","alibu","Fort Union"
"49-005-36104","Surfer","alibu","Fort Union"
"49-005-36105","Surfer","alibu","Fort Union"
"49-005-36106","Surfer","alibu","Fort Union"
"49-005-36107","Surfer","alibu","Fort Union"
"49-005-36108","Surfer","alibu","Fort Union"
"49-005-36109","Surfer","alibu","Fort Union"
"49-005-36110","Surfer","alibu","Fort Union"
"49-005-36111","Surfer","alibu","Fort Union"
"49-005-36332","Pearson Draw","South Prong","Fort Union"
"49-005-36409","Turbine","Echeta","Fort Union"
"49-005-36412","Turbine","Echeta","Fort Union"
"49-005-36413","Turbine","Echeta","Fort Union"
"49-005-36414","Turbine","Echeta","Fort Union"
"49-005-36415","Turbine","Echeta","Fort Union"
"49-005-36416","Turbine","Echeta","Fort Union"
"49-005-36417","Turbine","Echeta","Fort Union"
"49-005-36418","Turbine","Echeta","Fort Union"
"49-005-37474","Tabitha","ontgomery","Fort Union"
"49-005-37495","Tabitha","ontgomery","Fort Union"
"49-005-38001","Surfer","alibu","Fort Union"
"49-005-38002","Surfer","alibu","Fort Union"
"49-005-38003","Surfer","alibu","Fort Union"
"49-005-38005","Tabitha","ontgomery","Fort Union"
"49-005-38006","Tabitha","ontgomery","Fort Union"
"49-005-38007","Tabitha","ontgomery","Fort Union"
"49-005-38094","Tabitha","ontgomery","Fort Union"
"49-005-38095","Tabitha","ontgomery","Fort Union"
"49-005-38096","Tabitha","ontgomery","Fort Union"
"49-005-38097","Tabitha","ontgomery","Fort Union"
"49-005-38098","Tabitha","ontgomery","Fort Union"
"49-005-38099","Tabitha","ontgomery","Fort Union"
"49-005-38100","Tabitha","ontgomery","Fort Union"
"49-005-38101","Tabitha","ontgomery","Fort Union"
"49-005-38102","Tabitha","ontgomery","Fort Union"
"49-005-38103","Tabitha","ontgomery","Fort Union"
"49-005-38680","Surfer","alibu","Fort Union"
"49-005-38681","Surfer","alibu","Fort Union"
"49-005-38682","Surfer","alibu","Fort Union"
"49-005-38683","Surfer","alibu","Fort Union"
"49-005-38684","Surfer","alibu","Fort Union"
"49-005-38685","Surfer","alibu","Fort Union"
"49-005-40767","Turbine","Echeta","Fort Union"
"49-005-40768","Turbine","Echeta","Fort Union"
"49-005-40865","Dry Willow","Dry Willow","Thunder Creek"
"49-005-40867","Dry Willow","Dry Willow","Thunder Creek"
"49-005-41068","Butcher","Baker Springs","Fort Union"
"49-005-41069","Butcher","Baker Springs","Fort Union"
"49-005-41070","Butcher","Baker Springs","Fort Union"
"49-005-41071","Butcher","Baker Springs","Fort Union"
"49-005-41072","Butcher","Baker Springs","Fort Union"
"49-005-41073","Butcher","Baker Springs","Fort Union"
"49-005-41074","Butcher","Baker Springs","Fort Union"
"49-005-41075","Butcher","Baker Springs","Fort Union"
"49-005-41076","Butcher","Baker Springs","Fort Union"
"49-005-41077","Butcher","Baker Springs","Fort Union"
"49-005-41078","Butcher","Baker Springs","Fort Union"
"49-005-41079","Butcher","Baker Springs","Fort Union"
"49-005-41081","Butcher","Baker Springs","Fort Union"
"49-005-41082","Butcher","Baker Springs","Fort Union"
"49-005-41083","Butcher","Baker Springs","Fort Union"
"49-005-41084","Butcher","Baker Springs","Fort Union"
"49-005-41085","Butcher","Baker Springs","Fort Union"
"49-005-41086","Butcher","Baker Springs","Fort Union"
"49-005-41087","Butcher","Baker Springs","Fort Union"
"49-005-41088","Butcher","Baker Springs","Fort Union"
"49-005-41362","Surfer","alibu","Fort Union"
"49-005-41363","Surfer","alibu","Fort Union"
"49-005-41364","Surfer","alibu","Fort Union"
"49-005-41365","Pearson Draw","South Prong","Fort Union"
"49-005-41368","Tabitha","ontgomery","Fort Union"
"49-005-41639","Butcher","Baker Springs","Fort Union"
"49-005-41905","Tabitha","ontgomery","Fort Union"
"49-005-42125","Gas Draw","Horse Creek","Fort Union"
"49-005-42158","Oneok House Creek #24","Oneok House Creek Booster","Thunder Creek"
"49-005-42221","Butcher","Baker Springs","Fort Union"
"49-005-42222","Butcher","Baker Springs","Fort Union"
"49-005-42229","Butcher","Baker Springs","Fort Union"
"49-005-42232","Butcher","Baker Springs","Fort Union"
"49-005-42233","Butcher","Baker Springs","Fort Union"
"49-005-42281","Butcher","Baker Springs","Fort Union"
"49-005-42536","Pearson Draw","South Prong","Fort Union"
"49-005-42538","Pearson Draw","South Prong","Fort Union"
"49-005-42539","Pearson Draw","South Prong","Fort Union"
"49-005-42540","Pearson Draw","South Prong","Fort Union"
"49-005-42541","Pearson Draw","South Prong","Fort Union"
"49-005-42542","Sycamore","ontgomery","Fort Union"
"49-005-42543","Sycamore","ontgomery","Fort Union"
"49-005-42544","Sycamore","ontgomery","Fort Union"
"49-005-42545","Sycamore","ontgomery","Fort Union"
"49-005-42546","Sycamore","ontgomery","Fort Union"
"49-005-42548","Sycamore","ontgomery","Fort Union"
"49-005-42549","Sycamore","ontgomery","Fort Union"
"49-005-42551","Sycamore","ontgomery","Fort Union"
"49-005-42552","Sycamore","ontgomery","Fort Union"
"49-005-42554","Sycamore","ontgomery","Fort Union"
"49-005-42555","Sycamore","ontgomery","Fort Union"
"49-005-42556","Sycamore","ontgomery","Fort Union"
"49-005-42557","Sycamore","ontgomery","Fort Union"
"49-005-42558","Sycamore","ontgomery","Fort Union"
"49-005-42559","Sycamore","ontgomery","Fort Union"
"49-005-42560","Sycamore","ontgomery","Fort Union"
"49-005-42561","Sycamore","ontgomery","Fort Union"
"49-005-42562","Sycamore","ontgomery","Fort Union"
"49-005-42567","Sycamore","ontgomery","Fort Union"
"49-005-42568","Sycamore","ontgomery","Fort Union"
"49-005-42580","Pearson Draw","South Prong","Fort Union"
"49-005-42722","Butcher","Baker Springs","Fort Union"
"49-005-42723","Pearson Draw","South Prong","Fort Union"
"49-005-43430","Gas Draw","Horse Creek","IGC"
"49-005-43431","Gas Draw","Horse Creek","IGC"
"49-005-43432","Gas Draw","Horse Creek","IGC"
"49-005-43433","Gas Draw","Horse Creek","IGC"
"49-005-43435","Gas Draw","Horse Creek","IGC"
"49-005-43436","Gas Draw","Horse Creek","IGC"
"49-005-43437","Gas Draw","Horse Creek","IGC"
"49-005-43438","Gas Draw","Horse Creek","IGC"
"49-005-43439","Gas Draw","Horse Creek","IGC"
"49-005-43440","Gas Draw","Horse Creek","IGC"
