well,field,source,target,valueSource,value,latest_date
1,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
6,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
11,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
16,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
21,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
26,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
31,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
36,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
41,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
46,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
51,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
56,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
61,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
66,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
71,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
76,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
81,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
86,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
91,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
96,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
101,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
106,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
111,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
116,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
121,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
126,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
131,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
136,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
141,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
146,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
151,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
156,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
161,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
166,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
171,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
176,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
181,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
186,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
191,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
196,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
201,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
206,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
211,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
216,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
221,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
226,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
231,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
236,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
241,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
246,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
251,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
256,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
261,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
266,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
271,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
276,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
281,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
286,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
291,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
296,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
301,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
306,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
311,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
316,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
321,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
326,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
331,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
336,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
341,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
346,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
351,26,NORTH WEST,ALL,10176.44,290.76,6/25/2017
