well,field,source,target,value0,value1,value,latest_date
200,26,NORTH WEST,ALL,50126.02691,10025.20538,9531.72,6/25/2017
200,32,NORTH WEST,ALL,50126.02691,10025.20538,9281.98,6/25/2017
200,33,NORTH WEST,ALL,50126.02691,10025.20538,9776.06,6/25/2017
200,34,NORTH WEST,ALL,50126.0269,10025.20538,9166.41,6/25/2017
200,35,NORTH WEST,ALL,50126.02691,10025.20538,9146.25,6/25/2017
200,23,NORTH CENTRAL,ALL,47383.88975,9476.77795,9205.46,6/25/2017
200,24,NORTH CENTRAL,ALL,47383.88975,9476.77795,8936.84,6/25/2017
200,25,NORTH CENTRAL,ALL,47383.88975,9476.77795,9420.15,6/25/2017
200,27,NORTH CENTRAL,ALL,47383.8897,9476.77794,9233.03,6/25/2017
200,14,CENTRAL,ALL,45051.11304,9010.222608,8404.41,6/25/2017
200,15,CENTRAL,ALL,45051.11304,9010.222608,8641.55,6/25/2017
200,16,CENTRAL,ALL,45051.11304,9010.222608,8681.11,6/25/2017
200,17,CENTRAL,ALL,45051.11304,9010.222608,8392.84,6/25/2017
200,18,CENTRAL,ALL,45051.11304,9010.222608,8608.67,6/25/2017
200,5,NORTH EAST,ALL,39638.60044,7927.720088,7833.68,6/25/2017
200,6,NORTH EAST,ALL,39638.60044,7927.720088,7592.46,6/25/2017
200,7,NORTH EAST,ALL,39638.60044,7927.720088,7472.04,6/25/2017
200,8,NORTH EAST,ALL,39638.60044,7927.720088,7839.72,6/25/2017
200,9,NORTH EAST,ALL,39638.60044,7927.720088,7700.39,6/25/2017
160,20,SOUTH WEST,ALL,22999.8184,5749.9546,5484.03,6/25/2017
160,28,SOUTH WEST,ALL,22999.81845,5749.954613,5294.33,6/25/2017
160,30,SOUTH WEST,ALL,22999.81845,5749.954613,5354.44,6/25/2017
160,31,SOUTH WEST,ALL,22999.81845,5749.954613,5568.78,6/25/2017
160,11,CENTRAL EAST,ALL,22229.8786,5557.46965,5355.94,6/25/2017
160,19,CENTRAL EAST,ALL,22229.8786,5557.46965,5109.33,6/25/2017
160,21,CENTRAL EAST,ALL,22229.8786,5557.46965,5235.98,6/25/2017
160,22,CENTRAL EAST,ALL,22229.8786,5557.46965,5443.48,6/25/2017
140,2,CENTRAL WEST,ALL,19971.39828,4992.84957,4502.09,6/25/2017
140,10,CENTRAL WEST,ALL,19971.39828,4992.84957,4961.11,6/25/2017
140,12,CENTRAL WEST,ALL,19971.39828,4992.84957,4942.77,6/25/2017
140,13,CENTRAL WEST,ALL,19971.39828,4992.84957,4962.96,6/25/2017
120,1,SOUTH EAST,ALL,13623.57278,4541.190927,4298.68,6/25/2017
120,3,SOUTH EAST,ALL,13623.57278,4541.190927,4137.91,6/25/2017
120,4,SOUTH EAST,ALL,13623.57278,4541.190927,4186.11,6/25/2017
120,29,NORTH,ALL,3197.38932,3197.38932,3126.95,6/25/2017
