well,field,value
49-005-33169,Gas Draw,10
49-005-33170,Gas Draw,10
49-005-33173,Gas Draw,10
49-005-33174,Gas Draw,10
49-005-33177,Gas Draw,10
49-005-33178,Gas Draw,10
49-005-33179,Gas Draw,10
49-005-33181,Gas Draw,10
49-005-33400,Surfer,10
49-005-33824,Opossum,10
49-005-34418,West Pine Tree,10
49-005-34429,West Pine Tree,10
49-005-34573,Oneok House Creek #24,10
49-005-34822,Gas Draw,10
49-005-34823,Gas Draw,10
49-005-34824,Gas Draw,10
49-005-34825,Gas Draw,10
49-005-34826,Gas Draw,10
49-005-34856,Gas Draw,10
49-005-34858,Gas Draw,10
49-005-34860,Gas Draw,10
49-005-34861,Gas Draw,10
49-005-34862,Gas Draw,10
49-005-35028,Gas Draw,10
49-005-35138,Sycamore,10
49-005-35140,Sycamore,10
49-005-35141,Sycamore,10
49-005-35142,Sycamore,10
49-005-35144,Sycamore,10
49-005-35146,Sycamore,10
49-005-35150,Sycamore,10
49-005-35182,Dry Willow,10
49-005-35183,Dry Willow,10
49-005-35184,Dry Willow,10
49-005-35185,Dry Willow,10
49-005-35186,Dry Willow,10
49-005-35187,Dry Willow,10
49-005-35188,Dry Willow,10
49-005-35189,Dry Willow,10
49-005-35316,Gas Draw,10
49-005-35611,Surfer,10
49-005-35612,Surfer,10
49-005-35815,Turbine,10
49-005-35816,Turbine,10
49-005-35817,Turbine,10
49-005-35818,Turbine,10
49-005-35819,Turbine,10
49-005-35820,Turbine,10
49-005-36096,Surfer,10
49-005-36097,Surfer,10
49-005-36098,Surfer,10
49-005-36099,Surfer,10
49-005-36100,Surfer,10
49-005-36101,Surfer,10
49-005-36102,Surfer,10
49-005-36103,Surfer,10
49-005-36104,Surfer,10
49-005-36105,Surfer,10
49-005-36106,Surfer,10
49-005-36107,Surfer,10
49-005-36108,Surfer,10
49-005-36109,Surfer,10
49-005-36110,Surfer,10
49-005-36111,Surfer,10
49-005-36332,Pearson Draw,10
49-005-36409,Turbine,10
49-005-36412,Turbine,10
49-005-36413,Turbine,10
49-005-36414,Turbine,10
49-005-36415,Turbine,10
49-005-36416,Turbine,10
49-005-36417,Turbine,10
49-005-36418,Turbine,10
49-005-37474,Tabitha,10
49-005-37495,Tabitha,10
49-005-38001,Surfer,10
49-005-38002,Surfer,10
49-005-38003,Surfer,10
49-005-38005,Tabitha,10
49-005-38006,Tabitha,10
49-005-38007,Tabitha,10
49-005-38094,Tabitha,10
49-005-38095,Tabitha,10
49-005-38096,Tabitha,10
49-005-38097,Tabitha,10
49-005-38098,Tabitha,10
49-005-38099,Tabitha,10
49-005-38100,Tabitha,10
49-005-38101,Tabitha,10
49-005-38102,Tabitha,10
49-005-38103,Tabitha,10
49-005-38680,Surfer,10
49-005-38681,Surfer,10
49-005-38682,Surfer,10
49-005-38683,Surfer,10
49-005-38684,Surfer,10
49-005-38685,Surfer,10
49-005-40767,Turbine,10
49-005-40768,Turbine,10
49-005-40865,Dry Willow,10
49-005-40867,Dry Willow,10
49-005-41068,Butcher,10
49-005-41069,Butcher,10
49-005-41070,Butcher,10
49-005-41071,Butcher,10
49-005-41072,Butcher,10
49-005-41073,Butcher,10
49-005-41074,Butcher,10
49-005-41075,Butcher,10
49-005-41076,Butcher,10
49-005-41077,Butcher,10
49-005-41078,Butcher,10
49-005-41079,Butcher,10
49-005-41081,Butcher,10
49-005-41082,Butcher,10
49-005-41083,Butcher,10
49-005-41084,Butcher,10
49-005-41085,Butcher,10
49-005-41086,Butcher,10
49-005-41087,Butcher,10
49-005-41088,Butcher,10
49-005-41362,Surfer,10
49-005-41363,Surfer,10
49-005-41364,Surfer,10
49-005-41365,Pearson Draw,10
49-005-41368,Tabitha,10
49-005-41639,Butcher,10
49-005-41905,Tabitha,10
49-005-42125,Gas Draw,10
49-005-42158,Oneok House Creek #24,10
49-005-42221,Butcher,10
49-005-42222,Butcher,10
49-005-42229,Butcher,10
49-005-42232,Butcher,10
49-005-42233,Butcher,10
49-005-42281,Butcher,10
49-005-42536,Pearson Draw,10
49-005-42538,Pearson Draw,10
49-005-42539,Pearson Draw,10
49-005-42540,Pearson Draw,10
49-005-42541,Pearson Draw,10
49-005-42542,Sycamore,10
49-005-42543,Sycamore,10
49-005-42544,Sycamore,10
49-005-42545,Sycamore,10
49-005-42546,Sycamore,10
49-005-42548,Sycamore,10
49-005-42549,Sycamore,10
49-005-42551,Sycamore,10
49-005-42552,Sycamore,10
49-005-42554,Sycamore,10
49-005-42555,Sycamore,10
49-005-42556,Sycamore,10
49-005-42557,Sycamore,10
49-005-42558,Sycamore,10
49-005-42559,Sycamore,10
49-005-42560,Sycamore,10
49-005-42561,Sycamore,10
49-005-42562,Sycamore,10
49-005-42567,Sycamore,10
49-005-42568,Sycamore,10
49-005-42580,Pearson Draw,10
49-005-42722,Butcher,10
49-005-42723,Pearson Draw,10
49-005-43430,Gas Draw,10
49-005-43431,Gas Draw,10
49-005-43432,Gas Draw,10
49-005-43433,Gas Draw,10
49-005-43435,Gas Draw,10
49-005-43436,Gas Draw,10
49-005-43437,Gas Draw,10
49-005-43438,Gas Draw,10
49-005-43439,Gas Draw,10
49-005-43440,Gas Draw,10
49-005-43441,Gas Draw,10
49-005-43442,Gas Draw,10
49-005-43443,Gas Draw,10
49-005-43859,Butcher,10
49-005-43880,Butcher,10
49-005-43881,Butcher,10
49-005-43891,Butcher,10
49-005-43892,Butcher,10
49-005-44186,Oneok House Creek #24,10
49-005-44328,Butcher,10
49-005-44329,Butcher,10
49-005-44332,Butcher,10
49-005-44334,Butcher,10
49-005-44337,Butcher,10
49-005-44344,Butcher,10
49-005-44345,Butcher,10
49-005-44452,Butcher,10
49-005-44695,Butcher,10
49-005-45136,Winter Park,10
49-005-45137,Winter Park,10
49-005-45138,Winter Park,10
49-005-45139,Winter Park,10
49-005-45140,Winter Park,10
49-005-45141,Winter Park,10
49-005-45416,Dry Willow,10
49-005-45417,Dry Willow,10
49-005-45418,Dry Willow,10
49-005-45419,Dry Willow,10
49-005-45838,Tessmocker,10
49-005-46577,Butcher,10
49-005-46578,Butcher,10
49-005-46579,Butcher,10
49-005-46580,Butcher,10
49-005-46583,Butcher,10
49-005-46584,Butcher,10
49-005-46585,Butcher,10
49-005-46586,Butcher,10
49-005-46587,Butcher,10
49-005-46588,Butcher,10
49-005-46688,Tabitha,10
49-005-46689,Tabitha,10
49-005-46690,Tabitha,10
49-005-46691,Tabitha,10
49-005-46692,Tabitha,10
49-005-46693,Tabitha,10
49-005-46694,Tabitha,10
49-005-46695,Tabitha,10
49-005-47629,Dry Willow,10
49-005-47630,Dry Willow,10
49-005-47631,Dry Willow,10
49-005-47632,Dry Willow,10
49-005-47946,Croton,10
49-005-47950,Croton,10
49-005-47951,Croton,10
49-005-47952,Croton,10
49-005-47953,Croton,10
49-005-47954,Croton,10
49-005-47955,Croton,10
49-005-47957,Croton,10
49-005-47959,Croton,10
49-005-47961,Croton,10
49-005-47962,Croton,10
49-005-47963,Croton,10
49-005-47964,Croton,10
49-005-47965,Croton,10
49-005-47966,Croton,10
49-005-47967,Croton,10
49-005-47968,Croton,10
49-005-47969,Croton,10
49-005-47970,Croton,10
49-005-47971,Croton,10
49-005-47972,Croton,10
49-005-47973,Croton,10
49-005-47974,Croton,10
49-005-47975,Croton,10
49-005-47976,Croton,10
49-005-47977,Croton,10
49-005-47978,Croton,10
49-005-47979,Croton,10
49-005-47980,Croton,10
49-005-47981,Croton,10
49-005-47982,Croton,10
49-005-47983,Croton,10
49-005-47984,Croton,10
49-005-47985,Croton,10
49-005-47986,Croton,10
49-005-47987,Croton,10
49-005-47988,Croton,10
49-005-47989,Croton,10
49-005-47990,Croton,10
49-005-47991,Croton,10
49-005-47992,Croton,10
49-005-47993,Croton,10
49-005-47994,Croton,10
49-005-47995,Croton,10
49-005-47996,Croton,10
49-005-47997,Croton,10
49-005-47998,Croton,10
49-005-47999,Croton,10
49-005-48000,Croton,10
49-005-48001,Croton,10
49-005-48002,Croton,10
49-005-48003,Croton,10
49-005-48004,Croton,10
49-005-48006,Croton,10
49-005-48007,Croton,10
49-005-48008,Croton,10
49-005-48009,Croton,10
49-005-48010,Croton,10
49-005-48011,Croton,10
49-005-48012,Croton,10
49-005-48013,Croton,10
49-005-48014,Croton,10
49-005-48015,Croton,10
49-005-48016,Croton,10
49-005-48017,Croton,10
49-005-48130,Sycamore,10
49-005-48342,Sagebrush,10
49-005-48343,Sagebrush,10
49-005-48344,Sagebrush,10
49-005-48468,Tabitha,10
49-005-48469,Tabitha,10
49-005-48470,Tabitha,10
49-005-48471,Tabitha,10
49-005-48472,Sagebrush,10
49-005-48473,Sagebrush,10
49-005-48474,Sagebrush,10
49-005-48488,Chicken,10
49-005-48502,Chicken,10
49-005-48517,Oneok House Creek #24,10
49-005-48521,Chicken,10
49-005-48526,Chicken,10
49-005-48529,Chicken,10
49-005-48534,Chicken,10
49-005-48538,Chicken,10
49-005-48543,Tabitha,10
49-005-48544,Tabitha,10
49-005-48548,Tabitha,10
49-005-48552,Chicken,10
49-005-48553,Chicken,10
49-005-48556,Chicken,10
49-005-48558,Chicken,10
49-005-48559,Chicken,10
49-005-48560,Chicken,10
49-005-48562,Chicken,10
49-005-48563,Chicken,10
49-005-48564,Tabitha,10
49-005-48567,Chicken,10
49-005-48568,Tabitha,10
49-005-48569,Chicken,10
49-005-48570,Tabitha,10
49-005-48571,Chicken,10
49-005-48573,Chicken,10
49-005-48601,Chicken,10
49-005-48611,Chicken,10
49-005-48613,Chicken,10
49-005-48615,Chicken,10
49-005-48616,Chicken,10
49-005-48617,Chicken,10
49-005-48618,Chicken,10
49-005-48675,Croton,10
49-005-48676,Croton,10
49-005-48677,Croton,10
49-005-48679,Croton,10
49-005-48680,Croton,10
49-005-48681,Croton,10
49-005-48682,Croton,10
49-005-48683,Croton,10
49-005-48684,Croton,10
49-005-48954,Butcher,10
49-005-48955,Butcher,10
49-005-48956,Butcher,10
49-005-48961,Butcher,10
49-005-48962,Butcher,10
49-005-48963,Butcher,10
49-005-48979,Butcher,10
49-005-48980,Butcher,10
49-005-48981,Butcher,10
49-005-48982,Butcher,10
49-005-48983,Butcher,10
49-005-48984,Butcher,10
49-005-48985,Butcher,10
49-005-48987,Butcher,10
49-005-48988,Butcher,10
49-005-48989,Butcher,10
49-005-48995,Gas Draw,10
49-005-48996,Gas Draw,10
49-005-49000,Croton,10
49-005-49001,Croton,10
49-005-49002,Croton,10
49-005-49003,Butcher,10
49-005-49004,Butcher,10
49-005-49005,Butcher,10
49-005-49006,Butcher,10
49-005-49011,Butcher,10
49-005-49012,Butcher,10
49-005-49013,Butcher,10
49-005-49014,Butcher,10
49-005-49015,Butcher,10
49-005-49016,Butcher,10
49-005-49061,Dry Willow,10
49-005-49062,Dry Willow,10
49-005-49063,Dry Willow,10
49-005-49064,Dry Willow,10
49-005-49065,Dry Willow,10
49-005-49114,Chicken,10
49-005-49116,Chicken,10
49-005-49118,Chicken,10
49-005-49120,Chicken,10
49-005-49121,Chicken,10
49-005-49123,Gas Draw,10
49-005-49124,Gas Draw,10
49-005-49125,Chicken,10
49-005-49126,Chicken,10
49-005-49127,Chicken,10
49-005-49133,Chicken,10
49-005-49135,Chicken,10
49-005-49142,Chicken,10
49-005-49143,Chicken,10
49-005-49144,Gas Draw,10
49-005-49145,Gas Draw,10
49-005-49146,Gas Draw,10
49-005-49147,Gas Draw,10
49-005-49148,Chicken,10
49-005-49149,Chicken,10
49-005-49150,Chicken,10
49-005-49152,Gas Draw,10
49-005-49154,Gas Draw,10
49-005-49159,Butcher,10
49-005-49160,Butcher,10
49-005-49190,Tabitha,10
49-005-49219,ouse,10
49-005-49220,ouse,10
49-005-49321,Butcher,10
49-005-49322,Butcher,10
49-005-49323,Butcher,10
49-005-49324,Butcher,10
49-005-49325,Butcher,10
49-005-49481,Butcher,10
49-005-49483,Butcher,10
49-005-49492,Butcher,10
49-005-49493,Butcher,10
49-005-49494,Butcher,10
49-005-49496,Butcher,10
49-005-49504,Butcher,10
49-005-49505,Butcher,10
49-005-49506,Butcher,10
49-005-49507,Butcher,10
49-005-49513,Butcher,10
49-005-49514,Butcher,10
49-005-49515,Butcher,10
49-005-49516,Butcher,10
49-005-49517,Butcher,10
