id,value,
49-005,Gas Draw,Horse Creek,IGC
49-005,Gas Draw,Horse Creek,IGC
49-005,Gas Draw,Horse Creek,IGC
49-005,Gas Draw,Horse Creek,IGC
49-005,Gas Draw,Horse Creek,IGC
49-005,Gas Draw,Horse Creek,IGC
49-005,Gas Draw,Horse Creek,IGC
49-005,Gas Draw,Horse Creek,IGC
49-005,Surfer,alibu,Fort Union
49-005,Opossum,Baker Springs,Fort Union
49-005,West Pine Tree,West Pine Tree 2024,Thunder Creek
49-005,West Pine Tree,West Pine Tree 2024,Thunder Creek
49-005,Oneok House Creek #24,Oneok House Creek Booster,Thunder Creek
49-005,Gas Draw,Horse Creek,IGC
49-005,Gas Draw,Horse Creek,IGC
49-005,Gas Draw,Horse Creek,IGC
49-005,Gas Draw,Horse Creek,IGC
49-005,Gas Draw,Horse Creek,IGC
49-005,Gas Draw,Horse Creek,IGC
49-005,Gas Draw,Horse Creek,IGC
49-005,Gas Draw,Horse Creek,IGC
49-005,Gas Draw,Horse Creek,IGC
49-005,Gas Draw,Horse Creek,IGC
49-005,Gas Draw,Horse Creek,IGC
49-005,Sycamore,ontgomery,Fort Union
49-005,Sycamore,ontgomery,Fort Union
49-005,Sycamore,ontgomery,Fort Union
49-005,Sycamore,ontgomery,Fort Union
49-005,Sycamore,ontgomery,Fort Union
49-005,Sycamore,ontgomery,Fort Union
49-005,Sycamore,ontgomery,Fort Union
49-005,Dry Willow,Dry Willow,Thunder Creek
49-005,Dry Willow,Dry Willow,Thunder Creek
49-005,Dry Willow,Dry Willow,Thunder Creek
49-005,Dry Willow,Dry Willow,Thunder Creek
49-005,Dry Willow,Dry Willow,Thunder Creek
49-005,Dry Willow,Dry Willow,Thunder Creek
49-005,Dry Willow,Dry Willow,Thunder Creek
49-005,Dry Willow,Dry Willow,Thunder Creek
49-005,Gas Draw,Horse Creek,IGC
49-005,Surfer,alibu,Fort Union
49-005,Surfer,alibu,Fort Union
49-005,Turbine,Echeta,Fort Union
49-005,Turbine,Echeta,Fort Union
49-005,Turbine,Echeta,Fort Union
49-005,Turbine,Echeta,Fort Union
49-005,Turbine,Echeta,Fort Union
49-005,Turbine,Echeta,Fort Union
49-005,Surfer,alibu,Fort Union
49-005,Surfer,alibu,Fort Union
49-005,Surfer,alibu,Fort Union
49-005,Surfer,alibu,Fort Union
49-005,Surfer,alibu,Fort Union
49-005,Surfer,alibu,Fort Union
49-005,Surfer,alibu,Fort Union
49-005,Surfer,alibu,Fort Union
49-005,Surfer,alibu,Fort Union
49-005,Surfer,alibu,Fort Union
49-005,Surfer,alibu,Fort Union
49-005,Surfer,alibu,Fort Union
49-005,Surfer,alibu,Fort Union
49-005,Surfer,alibu,Fort Union
49-005,Surfer,alibu,Fort Union
49-005,Surfer,alibu,Fort Union
49-005,Pearson Draw,South Prong,Fort Union
49-005,Turbine,Echeta,Fort Union
49-005,Turbine,Echeta,Fort Union
49-005,Turbine,Echeta,Fort Union
49-005,Turbine,Echeta,Fort Union
49-005,Turbine,Echeta,Fort Union
49-005,Turbine,Echeta,Fort Union
49-005,Turbine,Echeta,Fort Union
49-005,Turbine,Echeta,Fort Union
49-005,Tabitha,ontgomery,Fort Union
49-005,Tabitha,ontgomery,Fort Union
49-005,Surfer,alibu,Fort Union
49-005,Surfer,alibu,Fort Union
49-005,Surfer,alibu,Fort Union
49-005,Tabitha,ontgomery,Fort Union
49-005,Tabitha,ontgomery,Fort Union
49-005,Tabitha,ontgomery,Fort Union
49-005,Tabitha,ontgomery,Fort Union
49-005,Tabitha,ontgomery,Fort Union
49-005,Tabitha,ontgomery,Fort Union
49-005,Tabitha,ontgomery,Fort Union
49-005,Tabitha,ontgomery,Fort Union
49-005,Tabitha,ontgomery,Fort Union
49-005,Tabitha,ontgomery,Fort Union
49-005,Tabitha,ontgomery,Fort Union
49-005,Tabitha,ontgomery,Fort Union
49-005,Tabitha,ontgomery,Fort Union
49-005,Surfer,alibu,Fort Union
49-005,Surfer,alibu,Fort Union
49-005,Surfer,alibu,Fort Union
49-005,Surfer,alibu,Fort Union
49-005,Surfer,alibu,Fort Union
49-005,Surfer,alibu,Fort Union
49-005,Turbine,Echeta,Fort Union
49-005,Turbine,Echeta,Fort Union
49-005,Dry Willow,Dry Willow,Thunder Creek
49-005,Dry Willow,Dry Willow,Thunder Creek
49-005,Butcher,Baker Springs,Fort Union
49-005,Butcher,Baker Springs,Fort Union
49-005,Butcher,Baker Springs,Fort Union
49-005,Butcher,Baker Springs,Fort Union
49-005,Butcher,Baker Springs,Fort Union
49-005,Butcher,Baker Springs,Fort Union
49-005,Butcher,Baker Springs,Fort Union
49-005,Butcher,Baker Springs,Fort Union
49-005,Butcher,Baker Springs,Fort Union
49-005,Butcher,Baker Springs,Fort Union
49-005,Butcher,Baker Springs,Fort Union
49-005,Butcher,Baker Springs,Fort Union
49-005,Butcher,Baker Springs,Fort Union
49-005,Butcher,Baker Springs,Fort Union
49-005,Butcher,Baker Springs,Fort Union
49-005,Butcher,Baker Springs,Fort Union
49-005,Butcher,Baker Springs,Fort Union
49-005,Butcher,Baker Springs,Fort Union
49-005,Butcher,Baker Springs,Fort Union
49-005,Butcher,Baker Springs,Fort Union
49-005,Surfer,alibu,Fort Union
49-005,Surfer,alibu,Fort Union
49-005,Surfer,alibu,Fort Union
49-005,Pearson Draw,South Prong,Fort Union
49-005,Tabitha,ontgomery,Fort Union
49-005,Butcher,Baker Springs,Fort Union
49-005,Tabitha,ontgomery,Fort Union
49-005,Gas Draw,Horse Creek,Fort Union
49-005,Oneok House Creek #24,Oneok House Creek Booster,Thunder Creek
49-005,Butcher,Baker Springs,Fort Union
49-005,Butcher,Baker Springs,Fort Union
49-005,Butcher,Baker Springs,Fort Union
49-005,Butcher,Baker Springs,Fort Union
49-005,Butcher,Baker Springs,Fort Union
49-005,Butcher,Baker Springs,Fort Union
49-005,Pearson Draw,South Prong,Fort Union
49-005,Pearson Draw,South Prong,Fort Union
49-005,Pearson Draw,South Prong,Fort Union
49-005,Pearson Draw,South Prong,Fort Union
49-005,Pearson Draw,South Prong,Fort Union
49-005,Sycamore,ontgomery,Fort Union
49-005,Sycamore,ontgomery,Fort Union
49-005,Sycamore,ontgomery,Fort Union
49-005,Sycamore,ontgomery,Fort Union
