well,field,source,target,value0,value1,value,latest_date
200,26,NORTH WEST,ALL,50126.02691,10025.20538,10176.44,2017-06-25
200,32,NORTH WEST,ALL,50126.02691,10025.20538,9926.7,2017-06-25
200,33,NORTH WEST,ALL,50126.02691,10025.20538,10420.78,2017-06-25
200,34,NORTH WEST,ALL,50126.0269,10025.20538,9811.13,2017-06-25
200,35,NORTH WEST,ALL,50126.02691,10025.20538,9790.97,2017-06-25
200,23,NORTH CENTRAL,ALL,47383.88975,9476.77795,11852.56,2017-06-25
200,24,NORTH CENTRAL,ALL,47383.88975,9476.77795,11583.94,2017-06-25
200,25,NORTH CENTRAL,ALL,47383.88975,9476.77795,12067.25,2017-06-25
200,27,NORTH CENTRAL,ALL,47383.8897,9476.77794,11880.13,2017-06-25
200,14,CENTRAL,ALL,45051.11304,9010.222608,8868.91,2017-06-25
200,15,CENTRAL,ALL,45051.11304,9010.222608,9106.05,2017-06-25
200,16,CENTRAL,ALL,45051.11304,9010.222608,9145.61,2017-06-25
200,17,CENTRAL,ALL,45051.11304,9010.222608,8857.34,2017-06-25
200,18,CENTRAL,ALL,45051.11304,9010.222608,9073.17,2017-06-25
200,5,NORTH EAST,ALL,39638.60044,7927.720088,8073.74,2017-06-25
200,6,NORTH EAST,ALL,39638.60044,7927.720088,7832.52,2017-06-25
200,7,NORTH EAST,ALL,39638.60044,7927.720088,7712.1,2017-06-25
200,8,NORTH EAST,ALL,39638.60044,7927.720088,8079.78,2017-06-25
200,9,NORTH EAST,ALL,39638.60044,7927.720088,7940.45,2017-06-25
160,20,SOUTH WEST,ALL,22999.8184,5749.9546,5808.58,2017-06-25
160,28,SOUTH WEST,ALL,22999.81845,5749.954613,5618.88,2017-06-25
160,30,SOUTH WEST,ALL,22999.81845,5749.954613,5678.99,2017-06-25
160,31,SOUTH WEST,ALL,22999.81845,5749.954613,5893.33,2017-06-25
160,11,CENTRAL EAST,ALL,22229.8786,5557.46965,5627.22,2017-06-25
160,19,CENTRAL EAST,ALL,22229.8786,5557.46965,5380.61,2017-06-25
160,21,CENTRAL EAST,ALL,22229.8786,5557.46965,5507.26,2017-06-25
160,22,CENTRAL EAST,ALL,22229.8786,5557.46965,5714.76,2017-06-25
140,2,CENTRAL WEST,ALL,19971.39828,4992.84957,4652.69,2017-06-25
140,10,CENTRAL WEST,ALL,19971.39828,4992.84957,5111.71,2017-06-25
140,12,CENTRAL WEST,ALL,19971.39828,4992.84957,5093.37,v
140,13,CENTRAL WEST,ALL,19971.39828,4992.84957,5113.56,2017-06-25
120,1,SOUTH EAST,ALL,13623.57278,4541.190927,4632.304,2017-06-25
120,3,SOUTH EAST,ALL,13623.57278,4541.190927,4471.534,2017-06-25
120,4,SOUTH EAST,ALL,13623.57278,4541.190927,4519.734,2017-06-25
120,29,NORTH,ALL,3197.38932,3197.38932,3197.38932,2017-06-25
