date,Pollution,Food
1/1/2001,8215,0
1/2/2001,8396,0
1/3/2001,0,0
1/4/2001,9422,0
1/5/2001,8399,0
1/6/2001,9689,97.21582
1/7/2001,6964,0
1/8/2001,9118,0
1/9/2001,8915,0
1/10/2001,7959,0
1/11/2001,7815,0
1/12/2001,7404,0
1/13/2001,10130,0
1/14/2001,9396,0
1/15/2001,9427,0
1/16/2001,9736,0
1/17/2001,8269,0
1/18/2001,7508,2.30E-04
1/19/2001,7423,0
1/20/2001,6788,0
1/21/2001,7220,0
1/22/2001,7279,0
1/23/2001,6331,0
1/24/2001,7299,0
1/25/2001,5487,0
1/26/2001,7163,0
1/27/2001,7635,0
1/28/2001,7836,0
1/29/2001,7692,0
1/30/2001,7332,0
1/31/2001,7063,0
2/1/2001,7450,0
2/2/2001,7165,0
2/3/2001,7186,0
2/4/2001,6972,0
2/5/2001,7424,0
2/6/2001,7869,0
2/7/2001,7469,0
2/8/2001,7469,0
2/9/2001,7662,0
2/10/2001,7609,0
2/11/2001,7740,0
2/12/2001,8083,0
2/13/2001,5906,0
2/14/2001,7422,0
2/15/2001,7661,0
2/16/2001,7101,0
2/17/2001,7072,0
2/18/2001,8232,0
2/19/2001,5606,0
2/20/2001,7031,0
2/21/2001,6169,0
2/22/2001,6418,0
2/23/2001,6494,0
2/24/2001,6554,0
2/25/2001,6688,0
2/26/2001,6484,0
2/27/2001,6093,0
2/28/2001,7138,0
3/1/2001,6339,0
3/2/2001,9226,0
3/3/2001,9214,0
3/4/2001,8580,0
3/5/2001,9078,0
3/6/2001,9961,0
3/7/2001,9369,0
3/8/2001,11724,0
3/9/2001,11918,0
3/10/2001,10394,0
3/11/2001,10396,0
3/12/2001,9563,0
3/13/2001,9889,0
3/14/2001,9998,0
3/15/2001,10129,0
3/16/2001,9928,0
3/17/2001,7104,0
3/18/2001,7853,0
3/19/2001,6599,0
3/20/2001,8380,0
3/21/2001,6577,0
3/22/2001,9548,0
3/23/2001,10916,0
3/24/2001,9218,0
3/25/2001,6629,0
3/26/2001,6064,0
3/27/2001,8560,0
3/28/2001,8857,0
3/29/2001,9713,0
3/30/2001,9097,0
3/31/2001,12930,0
4/1/2001,9255,0
4/2/2001,13543,0
4/3/2001,10904,0
4/4/2001,12474,0
4/5/2001,0,0
4/6/2001,21096,0
4/7/2001,10467,0
4/8/2001,9585,0
4/9/2001,9744,0
4/10/2001,7027,0
4/11/2001,8499,0
4/12/2001,5893,0
4/13/2001,7231,0
4/14/2001,8740,0
4/15/2001,8235,0
4/16/2001,9112,0
4/17/2001,10668,0
4/18/2001,13847,0
4/19/2001,10922,0
4/20/2001,12177,18
4/21/2001,13096,53
4/22/2001,13096,54
4/23/2001,13098,24
4/24/2001,10541,2
4/25/2001,9663,2
4/26/2001,11020,25
4/27/2001,11237,39
4/28/2001,10728,27
4/29/2001,10578,23
4/30/2001,8835,23
5/1/2001,9241,23
5/2/2001,11644,21
5/3/2001,10790,16
5/4/2001,10522,16
5/5/2001,10069,19
5/6/2001,11229,18
5/7/2001,9637,17
5/8/2001,9240,17
5/9/2001,9081,21
5/10/2001,10507,21
5/11/2001,10277,21
5/12/2001,9026,21
5/13/2001,9777,21
5/14/2001,10614,21
5/15/2001,8299,21
5/16/2001,8044,18
5/17/2001,10362,20
5/18/2001,11709,18
5/19/2001,10632,19
5/20/2001,8177,19
5/21/2001,10084,11
5/22/2001,9491,16
5/23/2001,9770,18
5/24/2001,6268,17
5/25/2001,8664,17
5/26/2001,9764,19
5/27/2001,7779,20
5/28/2001,9411,20
5/29/2001,8487,21
5/30/2001,9698,19
5/31/2001,9610,20
6/1/2001,9326,21
6/2/2001,9014,20
6/3/2001,8727,19
6/4/2001,7087,0
6/5/2001,7088,4
6/6/2001,13372,9
6/7/2001,12796,11
6/8/2001,10366,55
6/9/2001,9507,10
6/10/2001,11110,11
6/11/2001,10455,18
6/12/2001,11152,21
6/13/2001,13559,27
6/14/2001,12911,0
6/15/2001,12910,50
6/16/2001,11329,63
6/17/2001,10135,0
6/18/2001,10315,126
6/19/2001,9594,88
6/20/2001,8095,0
6/21/2001,12564,36
6/22/2001,9811,45
6/23/2001,12562,102
6/24/2001,14345,104
6/25/2001,12781,78
6/26/2001,13407,76
6/27/2001,11158,47
6/28/2001,9687,104
6/29/2001,12158,75
6/30/2001,13345,106
7/1/2001,12580,103
7/2/2001,11623,76
7/3/2001,10985,60
7/4/2001,10301,49
7/5/2001,7992,37
7/6/2001,6586,49
7/7/2001,9136,42
7/8/2001,8530,55
7/9/2001,8390,54
7/10/2001,4812,50
7/11/2001,7198,37
7/12/2001,0,0
7/13/2001,0,0
7/14/2001,0,0
7/15/2001,11995,48
7/16/2001,14019,28
7/17/2001,12352,29
7/18/2001,12110,32
7/19/2001,13320,62
7/20/2001,13506,187
7/21/2001,13056,375
7/22/2001,11548,251
7/23/2001,10315,460
7/24/2001,14976,492
7/25/2001,13162,387
7/26/2001,12250,486
7/27/2001,10835,546
7/28/2001,8349,630
7/29/2001,9934,751
7/30/2001,10100,673
7/31/2001,9619,490
8/1/2001,11150,1118
8/2/2001,11512,949
8/3/2001,10914,927
8/4/2001,10832,881
8/5/2001,11672,857
8/6/2001,11159,1164
8/7/2001,10406,926
8/8/2001,11578,960
8/9/2001,11391,997
8/10/2001,12476,882
8/11/2001,11872,839
8/12/2001,12443,1098
8/13/2001,11812,1375
8/14/2001,12454,1001
8/15/2001,12516,963
8/16/2001,10360,667
8/17/2001,12623,1066
8/18/2001,13427,1064
8/19/2001,10702,975
8/20/2001,10383,1245
8/21/2001,9615,1858
8/22/2001,11046,1505
8/23/2001,10991,2094
8/24/2001,10538,1320
8/25/2001,9022,1252
8/26/2001,8816,1200
